steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
1278710|FPS Robot Attack Minigame|False|Scorpiniti Bruno|Scorpiniti Bruno|23|Indie|N/A|N/A|2020-05-09|0|True|False|False
2622200|Staring Contest|False|acrillydev|acrillydev|4|Casual|23|Indie|2023-10-27|0|True|True|True
2654970|Mortadelo y Filemón: Mamelucos a la Romana|False|Alcachofa Soft|Erbe Software|25|Adventure|N/A|N/A|2024-01-25|0|True|False|False
2589440|PowerWash Adventure VR|False|Grass Digital Technology|Grass Digital Technology|4|Casual|28|Simulation|2023-12-13|0|True|False|False
2654980|Mortadelo y Filemón: Terror, Espanto y Pavor|False|Alcachofa Soft|Erbe Software|25|Adventure|N/A|N/A|2024-01-18|0|True|False|False
1377030|Gunnhildr|False|RatDog Games LLC|RatDog Games LLC|1|Action|23|Indie|2021-09-08|0|True|False|False
2589450|Luke Jump|False|Lazycat Games|Lazycat Games|1|Action|25|Adventure|2024-09-23|0|True|False|False
2622220|AVOID|False|Donderbos Games|Donderbos Games|4|Casual|23|Indie|2024-06-17|0|True|True|True
1409810|月之泪 ～ Tears of Luna|False|宇智波早苗|宇智波早苗|1|Action|4|Casual|2021-01-05|0|True|False|False
1311510|Embracelet|False|Mattis Folkestad|machineboy|25|Adventure|23|Indie|2020-09-23|0|True|False|False
2622230|Kungfu|False|amk800|amk800|2|Strategy|N/A|N/A|2023-11-09|0|True|False|False
2720540|陨铁山 Falling Mountains|False|Harbinger|Harbinger|23|Indie|2|Strategy|2024-07-23|0|True|False|False
1278750|Lost At Sea|False|Studio Fizbin|Studio Fizbin|25|Adventure|23|Indie|2021-07-15|0|True|False|False
2589470|Save Prinvess:Infinite Loop|False|Mutual Fun Studio|Mutual Fun Studio|4|Casual|23|Indie|2023-09-26|0|True|False|False
2622240|Shadow Strikers|False|PIS Games|PIS Games|1|Action|23|Indie|2024-04-07|0|True|False|False
